,,,,,,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,,,-additional
Rk,Player,Draft Team,Round,Pick,Draft Year,Draft College,From,To,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Team,-9999
546,Cade Cunningham,DET,1,1,2021,Oklahoma State,2020-21,2020-21,27,26,35.4,6.5,14.8,4.2,9.1,2.3,5.7,4.9,5.8,0.7,5.5,6.2,3.5,1.6,0.8,4.0,2.5,20.1,.438,.461,.400,.846,.574,.515,G,Oklahoma State,cade-cunningham-1
547,Jarrett Culver,PHO,1,6,2019,Texas Tech,2017-18,2018-19,75,58,29.5,5.3,11.6,3.9,7.5,1.4,4.1,2.9,4.2,1.2,4.4,5.6,2.8,1.3,0.6,2.1,2.0,14.9,.459,.522,.341,.687,.548,.518,G,Texas Tech,jarrett-culver-1
548,Jae Crowder,CLE,2,34,2012,Marquette,2010-11,2011-12,72,52,30.2,5.2,10.6,3.8,6.5,1.4,4.1,2.7,4.0,2.1,5.4,7.6,1.8,1.9,0.9,1.0,2.5,14.6,.492,.581,.350,.683,.584,.560,F,Marquette,jae-crowder-1
549,Jordan Crawford,NJN,1,27,2010,Xavier,2009-10,2009-10,35,34,32.8,7.4,16.1,5.2,10.3,2.3,5.8,3.4,4.4,1.0,3.8,4.7,2.9,1.3,0.2,2.4,1.6,20.5,.462,.501,.391,.773,.564,.532,G,Xavier,jordan-crawford-1
550,Allen Crabbe,CLE,2,31,2013,California,2010-11,2012-13,98,97,34.7,5.4,12.2,3.3,6.6,2.1,5.6,2.7,3.3,0.9,4.8,5.7,2.2,0.9,0.6,1.9,1.7,15.7,.446,.500,.382,.819,.571,.533,G,California,allen-crabbe-1
551,Isaiah Cousins,SAC,2,59,2016,Oklahoma,2012-13,2015-16,137,119,27.7,3.5,8.5,2.2,5.3,1.3,3.2,1.5,2.1,0.8,3.0,3.9,2.7,1.1,0.3,1.9,2.0,9.7,.408,.408,.407,.711,.511,.484,G,Oklahoma,isaiah-cousins-1
552,DeMarcus Cousins,SAC,1,5,2010,Kentucky,2009-10,2009-10,38,37,23.5,5.4,9.7,5.4,9.6,0.0,0.2,4.3,7.1,4.1,5.8,9.8,1.0,1.0,1.8,2.1,3.2,15.1,.558,.565,.167,.604,.579,.560,F,Kentucky,demarcus-cousins-1
553,Sharife Cooper,ATL,2,48,2021,Auburn,2020-21,2020-21,12,12,33.1,6.0,15.3,4.9,10.6,1.1,4.8,7.1,8.6,0.7,3.6,4.3,8.1,1.0,0.3,4.2,2.7,20.2,.391,.465,.228,.825,.519,.427,G,Auburn,sharife-cooper-1
554,Pat Connaughton,NJN,2,41,2015,Notre Dame,2011-12,2014-15,139,123,32.3,3.7,8.2,1.8,3.2,1.9,5.0,1.2,1.5,1.0,4.9,5.9,1.8,0.7,0.5,1.0,1.7,10.5,.450,.549,.386,.777,.587,.567,G,Notre Dame,pat-connaughton-1
555,Zach Collins,SAC,1,10,2017,Gonzaga,2016-17,2016-17,39,0,17.3,3.5,5.3,3.2,4.8,0.3,0.5,2.8,3.8,1.7,4.2,5.9,0.4,0.5,1.8,1.5,2.7,10.0,.652,.672,.476,.743,.703,.676,F,Gonzaga,zach-collins-1
556,John Collins,ATL,1,19,2017,Wake Forest,2015-16,2016-17,64,34,20.7,4.9,8.2,4.9,8.2,0.0,0.0,3.6,4.9,2.8,4.2,7.0,0.4,0.5,1.2,1.4,2.8,13.4,.601,.602,.000,.729,.638,.601,F,Wake Forest,john-collins-1
557,Dwayne Collins,PHO,2,60,2010,Miami (FL),2009-10,2009-10,29,28,24.7,4.4,7.3,4.4,7.3,0.0,0.0,3.1,5.5,2.9,4.8,7.8,1.2,0.6,1.1,2.4,2.3,12.0,.604,.604,,.569,.602,.604,F,Miami (FL),dwayne-collins-1
558,Norris Cole,CHI,1,28,2011,Cleveland State,2009-10,2010-11,69,69,35.0,6.3,14.5,5.0,10.7,1.3,3.8,5.2,6.2,0.6,3.8,4.4,4.9,2.0,0.1,2.7,2.4,19.1,.436,.469,.342,.833,.548,.481,G,Cleveland State,norris-cole-1
559,Noah Clowney,NJN,1,21,2023,Alabama,2022-23,2022-23,36,36,25.4,3.4,7.0,2.5,3.7,0.9,3.3,2.0,3.1,2.1,5.8,7.9,0.8,0.6,0.9,1.3,2.5,9.8,.486,.669,.283,.649,.576,.553,F,Alabama,noah-clowney-1
560,Nicolas Claxton,NJN,2,31,2019,Georgia,2017-18,2018-19,65,37,23.0,2.8,6.1,2.4,4.8,0.4,1.3,2.4,4.0,2.0,4.2,6.2,1.0,0.6,1.9,1.4,2.3,8.4,.457,.500,.302,.611,.526,.490,F,Georgia,nicolas-claxton-1
561,Jordan Clarkson,WAS,2,46,2014,Missouri,2010-11,2013-14,93,75,31.7,5.1,11.6,4.1,8.4,1.0,3.2,4.2,5.2,0.8,2.5,3.3,2.7,0.9,0.3,2.7,2.3,15.4,.440,.485,.322,.805,.548,.484,G,MissouriTulsa,jordan-clarkson-1
562,Brandon Clarke,OKC,1,21,2019,Gonzaga,2015-16,2018-19,98,69,27.8,6.0,9.3,5.9,9.1,0.1,0.2,2.5,4.0,2.7,4.9,7.7,1.9,1.0,2.4,1.5,2.2,14.5,.639,.649,.250,.618,.643,.642,F,GonzagaSan Jose State,brandon-clarke-1
563,Jaylen Clark,MIN,2,53,2023,UCLA,2020-21,2022-23,90,35,19.1,2.9,5.8,2.5,4.6,0.4,1.3,1.2,1.9,1.5,2.6,4.1,1.0,1.3,0.2,0.8,1.7,7.4,.490,.544,.302,.661,.546,.524,G,UCLA,jaylen-clark-1
564,Josh Christopher,HOU,1,24,2021,Arizona State,2020-21,2020-21,15,15,29.7,5.1,11.7,3.9,7.8,1.2,3.9,2.9,3.7,0.7,4.1,4.7,1.4,1.5,0.5,1.7,3.2,14.3,.432,.496,.305,.800,.529,.483,G,Arizona State,josh-christopher-1
565,Semaj Christon,MIA,2,55,2014,Xavier,2012-13,2013-14,64,63,34.8,5.7,12.3,5.3,11.1,0.4,1.2,4.4,6.6,0.3,2.5,2.8,4.4,1.4,0.2,3.1,2.4,16.2,.462,.476,.338,.670,.525,.479,G,Xavier,semaj-christon-1
566,Rakeem Christmas,MIN,2,36,2015,Syracuse,2011-12,2014-15,142,140,22.0,2.9,5.1,2.9,5.1,0.0,0.0,1.6,2.4,2.0,3.3,5.3,0.6,0.5,1.7,1.1,2.6,7.4,.560,.560,.000,.681,.588,.560,F,Syracuse,rakeem-christmas-1
567,Max Christie,LAL,2,35,2022,Michigan State,2021-22,2021-22,35,35,30.8,3.2,8.4,2.1,4.9,1.1,3.5,1.7,2.1,0.9,2.6,3.5,1.5,0.5,0.5,1.5,1.1,9.3,.382,.429,.317,.824,.494,.449,G,Michigan State,max-christie-1
568,Marquese Chriss,SAC,1,8,2016,Washington,2015-16,2015-16,34,34,24.9,5.3,9.9,4.6,8.2,0.6,1.8,2.6,3.8,2.5,2.9,5.4,0.8,0.9,1.6,2.0,4.1,13.7,.530,.568,.350,.682,.585,.561,F,Washington,marquese-chriss-1
569,Kennedy Chandler,SAS,2,38,2022,Tennessee,2021-22,2021-22,34,34,30.8,5.4,11.5,3.9,7.8,1.4,3.8,1.8,2.9,0.7,2.6,3.2,4.7,2.2,0.2,2.5,2.0,13.9,.464,.504,.383,.606,.539,.527,G,Tennessee,kennedy-chandler-1
570,Willie Cauley-Stein,SAC,1,6,2015,Kentucky,2012-13,2014-15,105,70,24.5,3.3,5.6,3.3,5.6,0.0,0.0,1.4,2.8,2.4,3.9,6.2,0.9,1.1,2.2,1.2,2.3,8.0,.593,.593,,.508,.582,.593,F,Kentucky,willie-cauley-stein-1
571,Michael Carter-Williams,PHI,1,11,2013,Syracuse,2011-12,2012-13,66,40,25.4,2.7,6.8,2.1,4.8,0.6,2.1,2.2,3.2,0.9,2.7,3.6,5.2,2.0,0.4,2.3,1.8,8.2,.398,.438,.307,.679,.493,.445,G,Syracuse,michael-carter-williams-1
572,Wendell Carter Jr.,CHI,1,7,2018,Duke,2017-18,2017-18,37,37,26.9,4.8,8.6,4.3,7.4,0.5,1.2,3.4,4.5,2.9,6.1,9.1,2.0,0.8,2.1,2.0,2.8,13.5,.561,.586,.413,.738,.628,.591,F,Duke,wendell-carterjr-1
573,Jevon Carter,MEM,2,32,2018,West Virginia,2014-15,2017-18,144,112,29.9,4.1,10.0,2.4,5.3,1.7,4.7,2.4,3.0,0.9,2.8,3.7,3.9,2.3,0.2,1.8,2.5,12.2,.407,.453,.355,.798,.534,.491,G,West Virginia,jevon-carter-1
574,Tony Carr,NOH,2,51,2018,Penn State,2016-17,2017-18,70,70,34.2,5.5,13.9,3.8,9.5,1.7,4.4,3.8,4.9,0.8,4.1,4.9,4.6,0.7,0.3,2.4,2.0,16.6,.396,.397,.395,.786,.511,.458,G,Penn State,tony-carr-1
575,Vernon Carey Jr.,CHA,2,32,2020,Duke,2019-20,2019-20,31,30,24.9,6.4,11.1,6.2,10.5,0.3,0.7,4.7,7.0,2.7,6.1,8.8,1.0,0.7,1.6,2.0,2.7,17.8,.577,.590,.381,.670,.615,.588,C,Duke,vernon-careyjr-1
576,Derrick Caracter,LAL,2,58,2010,UTEP,2009-10,2009-10,27,22,26.7,5.5,9.7,5.3,9.1,0.1,0.6,3.0,4.4,2.7,5.4,8.1,1.1,1.0,0.9,2.9,3.0,14.1,.567,.585,.267,.672,.598,.575,F,UTEP,derrick-caracter-1
577,Isaiah Canaan,HOU,2,34,2013,Murray State,2009-10,2012-13,132,83,29.4,4.8,10.7,2.5,5.2,2.3,5.5,3.6,4.5,0.6,2.2,2.8,2.9,1.2,0.1,2.4,1.8,15.5,.450,.483,.419,.803,.606,.558,G,Murray State,isaiah-canaan-1
578,Toumani Camara,PHO,2,52,2023,Dayton,2019-20,2022-23,125,116,27.4,4.2,8.2,3.6,6.3,0.6,1.8,2.0,3.2,2.0,4.8,6.9,1.4,1.0,0.8,2.2,2.7,11.0,.513,.573,.307,.631,.566,.548,F,DaytonGeorgia,toumani-camara-1
579,Kentavious Caldwell-Pope,DET,1,8,2013,Georgia,2011-12,2012-13,64,60,33.0,5.3,12.7,3.0,5.9,2.3,6.9,2.9,3.9,1.3,4.8,6.1,1.5,1.9,0.4,1.6,2.2,15.8,.415,.504,.339,.752,.543,.507,G,Georgia,kentavious-caldwell-pope-1
580,Jimmy Butler,CHI,1,30,2011,Marquette,2009-10,2010-11,71,69,34.5,4.7,9.3,4.2,8.0,0.5,1.3,5.3,6.8,2.4,3.8,6.2,2.2,1.4,0.5,1.3,1.6,15.2,.507,.524,.400,.775,.607,.534,G,Marquette,jimmy-butler-1
581,Jared Butler,NOH,2,40,2021,Baylor,2018-19,2020-21,94,81,29.1,4.9,11.4,2.6,5.4,2.3,5.9,2.1,2.6,0.5,2.7,3.2,3.5,1.5,0.2,2.4,2.4,14.1,.431,.483,.384,.782,.560,.531,G,Baylor,jared-butler-1
582,Da'Sean Butler,MIA,2,42,2010,West Virginia,2009-10,2009-10,38,38,35.8,5.5,13.2,3.6,8.0,1.8,5.2,4.4,5.6,1.6,4.6,6.2,3.1,1.0,0.4,1.8,2.2,17.2,.414,.452,.354,.789,.541,.483,F,West Virginia,dasean-butler-1
583,Alec Burks,UTA,1,12,2011,Colorado,2009-10,2010-11,68,67,30.9,6.2,12.6,5.5,10.4,0.7,2.2,5.9,7.3,2.2,3.6,5.8,2.4,1.1,0.4,2.3,2.4,19.0,.495,.533,.313,.804,.592,.522,G,Colorado,alec-burks-1
584,Trey Burke,MIN,1,9,2013,Michigan,2011-12,2012-13,73,71,35.7,6.0,13.3,4.2,8.3,1.8,5.0,3.1,4.0,0.6,2.7,3.3,5.7,1.3,0.5,2.5,1.7,16.9,.450,.499,.367,.777,.556,.519,G,Michigan,trey-burke-1
585,Reggie Bullock,LAC,1,25,2013,North Carolina,2010-11,2012-13,100,53,24.6,3.6,8.2,1.7,3.3,1.9,4.9,0.9,1.2,1.6,3.4,5.0,1.7,0.9,0.2,0.9,1.2,9.9,.439,.517,.387,.720,.568,.555,G,North Carolina,reggie-bullock-2
586,Kobe Bufkin,ATL,1,15,2023,Michigan,2021-22,2022-23,61,33,23.3,3.3,7.2,2.5,4.6,0.8,2.6,1.5,1.8,0.6,2.4,3.0,1.7,0.9,0.4,1.3,1.7,9.0,.463,.541,.325,.833,.559,.522,G,Michigan,kobe-bufkin-1
587,Thomas Bryant,UTA,2,42,2017,Indiana,2015-16,2016-17,69,69,25.3,4.4,7.5,4.0,6.4,0.4,1.1,3.0,4.1,2.1,4.1,6.2,1.2,0.6,1.2,2.0,2.9,12.2,.592,.630,.373,.718,.648,.619,C,Indiana,thomas-bryant-1
588,Jalen Brunson,DAL,2,33,2018,Villanova,2015-16,2017-18,116,115,28.9,5.0,9.8,3.5,5.9,1.5,3.9,2.9,3.5,0.4,2.1,2.5,3.7,0.8,0.0,1.9,1.8,14.4,.510,.587,.393,.820,.628,.588,G,Villanova,jalen-brunson-1
589,Troy Brown,WAS,1,15,2018,Oregon,2017-18,2017-18,35,35,31.2,4.1,9.2,3.2,6.1,0.9,3.1,2.2,3.0,1.5,4.7,6.2,3.2,1.6,0.2,2.5,2.2,11.3,.444,.524,.291,.743,.532,.494,F,Oregon,troy-brown-5
590,Sterling Brown,PHI,2,46,2017,SMU,2013-14,2016-17,136,106,25.7,2.9,5.8,2.0,3.7,0.9,2.1,1.4,1.9,1.4,3.4,4.8,2.2,1.0,0.4,1.5,2.2,8.2,.504,.534,.451,.770,.616,.586,G,SMU,sterling-brown-2
591,Markel Brown,MIN,2,44,2014,Oklahoma State,2010-11,2013-14,134,103,30.5,4.1,9.4,3.0,6.2,1.1,3.1,3.0,4.1,0.8,3.5,4.3,2.3,1.0,0.8,1.8,2.1,12.4,.439,.486,.347,.733,.545,.497,G,Oklahoma State,markel-brown-1
592,Lorenzo Brown,MIN,2,52,2013,NC State,2010-11,2012-13,101,95,32.6,4.1,9.5,3.4,7.4,0.6,2.1,2.8,3.8,0.7,3.5,4.2,5.8,1.7,0.5,3.0,1.9,11.6,.429,.464,.305,.741,.513,.463,G,NC State,lorenzo-brown-1
593,Kobe Brown,LAC,1,30,2023,Missouri,2019-20,2022-23,123,118,25.1,4.0,8.0,3.1,5.5,0.8,2.6,2.1,2.8,1.7,4.3,6.0,1.7,1.1,0.5,1.7,2.6,10.8,.492,.577,.313,.747,.577,.542,F,Missouri,kobe-brown-1
594,Kendall Brown,MIN,2,48,2022,Baylor,2021-22,2021-22,34,34,27.0,3.9,6.6,3.5,5.4,0.4,1.2,1.5,2.2,1.7,3.1,4.9,1.9,1.0,0.4,1.7,2.3,9.7,.584,.638,.341,.689,.630,.615,G,Baylor,kendall-brown-1
595,Jaylen Brown,BOS,1,3,2016,California,2015-16,2015-16,34,34,27.6,4.8,11.1,3.9,8.1,0.9,3.0,4.2,6.4,1.1,4.3,5.4,2.0,0.8,0.6,3.1,3.2,14.6,.431,.482,.294,.654,.518,.471,F,California,jaylen-brown-1
596,Greg Brown,NOH,2,43,2021,Texas,2020-21,2020-21,26,24,20.6,3.1,7.4,2.0,3.9,1.2,3.5,2.0,2.8,1.2,5.0,6.2,0.4,0.6,1.0,2.3,3.0,9.3,.420,.500,.330,.708,.535,.497,F,Texas,greg-brown-9
597,Bruce Brown,DET,2,42,2018,Miami (FL),2016-17,2017-18,52,48,32.6,4.1,9.2,3.1,6.3,0.9,3.0,2.6,3.7,1.4,4.8,6.2,3.5,1.4,0.6,2.1,2.4,11.7,.442,.502,.316,.702,.532,.493,G,Miami (FL),bruce-brown-2
598,Anthony Brown,LAL,2,34,2015,Stanford,2010-11,2014-15,144,105,29.2,3.6,8.4,2.1,4.7,1.5,3.8,2.1,2.8,1.0,3.8,4.8,1.6,0.7,0.2,1.6,1.8,10.8,.428,.448,.403,.751,.556,.518,G,Stanford,anthony-brown-5
599,Alec Brown,PHO,2,50,2014,Green Bay,2010-11,2013-14,126,125,29.3,4.8,10.3,4.2,8.8,0.6,1.5,3.1,4.2,2.3,4.1,6.3,0.9,0.6,2.5,2.1,2.7,13.3,.465,.476,.400,.748,.542,.495,F,Green Bay,alec-brown-1
600,Marshon Brooks,BOS,1,25,2011,Providence,2009-10,2010-11,63,56,31.6,7.0,14.8,5.3,9.6,1.8,5.2,3.6,4.8,2.0,3.6,5.6,2.0,1.4,0.9,2.4,2.4,19.5,.477,.549,.345,.755,.572,.538,G,Providence,marshon-brooks-1
601,Dillon Brooks,HOU,2,45,2017,Oregon,2014-15,2016-17,109,98,28.9,5.4,11.4,4.2,8.0,1.2,3.4,2.8,3.5,1.6,2.9,4.5,2.6,0.9,0.5,2.1,2.9,14.8,.472,.518,.362,.794,.565,.526,F,Oregon,dillon-brooks-1
602,Malcolm Brogdon,MIL,2,36,2016,Virginia,2011-12,2015-16,136,109,30.6,4.4,10.3,3.1,6.6,1.4,3.7,3.1,3.5,0.6,3.5,4.1,2.5,0.9,0.2,1.5,1.8,13.3,.430,.466,.365,.876,.556,.496,G,Virginia,malcolm-brogdon-1
603,Miles Bridges,LAC,1,12,2018,Michigan State,2016-17,2017-18,62,60,31.6,6.2,13.2,4.2,7.8,2.0,5.5,2.5,3.2,1.4,6.2,7.6,2.4,0.6,1.1,2.1,1.7,17.0,.470,.537,.375,.776,.576,.548,F,Michigan State,miles-bridges-1
604,Mikal Bridges,PHI,1,10,2018,Villanova,2015-16,2017-18,116,73,27.3,3.9,7.5,2.5,3.8,1.5,3.7,1.9,2.3,1.1,3.2,4.3,1.6,1.4,0.9,1.1,2.2,11.3,.525,.645,.400,.845,.656,.623,F,Villanova,mikal-bridges-1
605,Ignas Brazdeikis,SAC,2,47,2019,Michigan,2018-19,2018-19,37,37,29.6,5.1,11.0,3.6,7.1,1.5,3.9,3.1,4.1,1.2,4.3,5.4,0.8,0.7,0.5,1.2,2.1,14.8,.462,.500,.392,.773,.573,.531,F,Michigan,ignas-brazdeikis-1
606,Christian Braun,DEN,1,21,2022,Kansas,2019-20,2021-22,101,74,28.5,3.5,7.8,2.2,4.3,1.3,3.5,1.7,2.3,1.1,3.9,5.0,1.8,1.0,0.5,1.3,1.6,10.1,.449,.508,.378,.749,.566,.535,G,Kansas,christian-braun-1
607,Jarrell Brantley,IND,2,50,2019,College of Charleston,2015-16,2018-19,123,119,31.7,5.6,11.6,4.7,9.0,0.9,2.6,3.4,4.4,1.8,6.0,7.9,1.7,1.2,0.7,2.6,2.9,15.6,.487,.526,.353,.768,.570,.527,F,College of Charleston,jarrell-brantley-1
608,Malaki Branham,SAS,1,20,2022,Ohio State,2021-22,2021-22,32,31,29.6,5.0,10.0,3.8,7.3,1.2,2.8,2.5,3.0,0.8,2.8,3.6,2.0,0.7,0.3,1.7,1.8,13.7,.498,.530,.416,.833,.596,.556,G,Ohio State,malaki-branham-1
609,Tony Bradley,LAL,1,28,2017,North Carolina,2016-17,2016-17,38,0,14.6,2.7,4.7,2.7,4.7,0.0,0.0,1.7,2.8,2.6,2.6,5.1,0.6,0.3,0.6,0.7,1.8,7.1,.573,.573,,.619,.590,.573,F,North Carolina,tony-bradley-1
610,Avery Bradley,BOS,1,19,2010,Texas,2009-10,2009-10,34,32,29.5,4.7,10.8,3.4,7.5,1.2,3.3,1.1,1.9,1.0,1.9,2.9,2.1,1.3,0.5,1.5,2.4,11.6,.432,.457,.375,.545,.496,.489,G,Texas,avery-bradley-1
611,Craig Brackins,OKC,1,21,2010,Iowa State,2009-10,2009-10,32,32,35.1,6.0,14.3,5.2,11.6,0.8,2.7,3.7,4.8,2.1,6.4,8.5,2.2,0.8,1.2,2.1,2.0,16.5,.420,.446,.310,.760,.498,.450,F,Iowa State,craig-brackins-1
612,James Bouknight,CHA,1,11,2021,Connecticut,2019-20,2020-21,43,30,27.9,5.3,11.5,4.2,8.1,1.1,3.4,3.4,4.2,1.6,3.1,4.7,1.5,0.9,0.2,2.1,2.4,15.0,.456,.513,.320,.802,.554,.503,G,Connecticut,james-bouknight-1
613,Brandon Boston Jr.,MEM,2,51,2021,Kentucky,2020-21,2020-21,25,24,30.4,4.1,11.6,2.9,7.6,1.2,4.0,2.0,2.6,1.3,3.2,4.5,1.6,1.3,0.2,1.4,2.0,11.5,.355,.384,.300,.785,.447,.407,G,Kentucky,brandon-bostonjr-1
614,Trevor Booker,MIN,1,23,2010,Clemson,2009-10,2009-10,32,32,30.8,5.9,11.3,5.6,10.2,0.3,1.1,3.2,5.3,2.8,5.6,8.4,2.5,1.3,1.4,1.9,2.0,15.2,.521,.547,.265,.591,.549,.533,F,Clemson,trevor-booker-1
615,Devin Booker,PHO,1,13,2015,Kentucky,2014-15,2014-15,38,0,21.5,3.6,7.6,2.0,3.8,1.5,3.7,1.4,1.7,0.4,1.6,2.0,1.1,0.4,0.1,1.0,1.5,10.0,.470,.527,.411,.828,.600,.571,G,Kentucky,devin-booker-2
616,Jordan Bone,NOH,2,57,2019,Tennessee,2016-17,2018-19,95,87,26.1,3.6,8.4,2.6,5.7,1.0,2.7,1.6,2.0,0.3,2.1,2.4,4.3,0.7,0.1,1.6,1.2,9.7,.424,.458,.353,.817,.519,.481,G,Tennessee,jordan-bone-1
617,Joel Bolomboy,UTA,2,52,2016,Weber State,2012-13,2015-16,130,90,28.8,3.8,7.2,3.5,6.4,0.3,0.7,3.6,5.0,3.2,6.9,10.1,0.7,0.6,1.4,2.0,2.3,11.4,.528,.547,.371,.713,.598,.548,F,Weber State,joel-bolomboy-1
618,Jonah Bolden,PHI,2,36,2017,,2015-16,2015-16,31,11,21.7,1.6,4.0,1.4,2.8,0.3,1.2,1.1,1.5,1.2,3.7,4.8,1.1,0.7,0.9,0.8,2.1,4.6,.415,.483,.250,.733,.499,.451,F,UCLA,jonah-bolden-1
619,Bol Bol,MIA,2,44,2019,Oregon,2018-19,2018-19,9,9,29.8,8.2,14.7,6.8,11.9,1.4,2.8,3.1,4.1,2.1,7.4,9.6,1.0,0.8,2.7,2.0,1.7,21.0,.561,.570,.520,.757,.632,.610,C,Oregon,bol-bol-1
620,Jaron Blossomgame,SAS,2,59,2017,Clemson,2013-14,2016-17,128,125,30.7,4.9,10.0,4.1,7.7,0.8,2.4,3.0,4.1,1.9,4.6,6.5,1.1,0.6,0.7,1.5,1.6,13.5,.488,.541,.316,.724,.564,.525,F,Clemson,jaron-blossomgame-1
621,Eric Bledsoe,OKC,1,18,2010,Kentucky,2009-10,2009-10,37,35,30.3,3.9,8.4,2.6,5.0,1.3,3.5,2.2,3.3,0.5,2.6,3.1,2.9,1.4,0.3,3.0,2.2,11.3,.462,.516,.383,.667,.566,.540,G,Kentucky,eric-bledsoe-1
622,Anthony Black,ORL,1,6,2023,Arkansas,2022-23,2022-23,36,36,34.9,4.1,9.1,3.4,6.6,0.8,2.6,3.7,5.3,1.3,3.8,5.1,3.9,2.1,0.6,3.0,2.6,12.8,.453,.513,.301,.705,.549,.495,G,Arkansas,anthony-black-1
623,Jabari Bird,BOS,2,56,2017,California,2013-14,2016-17,114,80,26.4,3.9,8.9,2.3,4.5,1.6,4.4,1.2,1.6,0.8,2.5,3.3,1.2,0.5,0.3,1.2,1.7,10.8,.442,.512,.371,.753,.555,.534,G,California,jabari-bird-1
624,Tyler Bey,PHI,2,36,2020,Colorado,2017-18,2019-20,99,87,25.0,4.0,7.6,3.8,7.0,0.2,0.6,3.0,4.1,1.9,6.2,8.1,0.9,1.0,1.0,1.9,2.3,11.2,.530,.549,.305,.747,.592,.542,G,Colorado,tyler-bey-1
625,Saddiq Bey,NJN,1,19,2020,Villanova,2018-19,2019-20,67,60,31.6,4.2,9.0,2.3,4.5,1.9,4.6,1.5,2.0,1.7,3.2,4.9,1.8,0.8,0.4,1.1,2.3,11.9,.469,.522,.418,.728,.594,.575,F,Villanova,saddiq-bey-1
626,Ben Bentil,BOS,2,51,2016,Providence,2014-15,2015-16,69,56,27.9,4.7,10.2,3.8,7.5,0.9,2.7,3.6,4.8,2.5,3.8,6.3,0.9,0.6,0.7,1.6,2.7,13.8,.455,.503,.324,.761,.554,.499,F,Providence,ben-bentil-1
627,Keith Benson,ATL,2,48,2011,Oakland,2009-10,2010-11,70,70,31.8,6.3,11.6,6.1,11.2,0.2,0.4,4.9,7.2,2.9,7.4,10.3,0.9,0.6,3.5,1.8,3.0,17.6,.541,.546,.393,.685,.587,.547,C,Oakland,keith-benson-1
628,Anthony Bennett,CLE,1,1,2013,UNLV,2012-13,2012-13,35,31,27.1,5.8,10.8,4.7,8.1,1.0,2.7,3.5,5.1,2.5,5.7,8.1,1.0,0.7,1.2,1.9,2.3,16.1,.533,.587,.375,.701,.609,.580,F,UNLV,anthony-bennett-1
629,DeAndre Bembry,ATL,1,21,2016,Saint Joseph's,2013-14,2015-16,101,100,36.1,5.7,12.6,4.6,8.8,1.2,3.8,3.1,4.9,1.4,5.3,6.7,3.6,1.4,0.8,2.5,2.5,15.7,.457,.520,.312,.628,.528,.504,F,Saint Joseph's,deandre-bembry-1
630,Jordan Bell,CHI,2,38,2017,Oregon,2014-15,2016-17,105,62,24.7,3.3,5.4,3.3,5.2,0.0,0.2,1.2,1.8,2.1,4.7,6.8,1.5,1.1,2.2,1.5,2.3,7.8,.610,.622,.188,.630,.619,.612,F,Oregon,jordan-bell-1
631,Malik Beasley,DEN,1,19,2016,Florida State,2015-16,2015-16,34,33,29.8,5.4,11.6,3.8,7.4,1.6,4.2,3.1,3.8,1.3,4.0,5.3,1.5,0.9,0.2,1.7,2.2,15.6,.471,.518,.387,.813,.583,.541,G,Florida State,malik-beasley-1
632,Bradley Beal,WAS,1,3,2012,Florida,2011-12,2011-12,37,37,34.2,4.7,10.6,3.0,5.6,1.7,5.0,3.6,4.7,1.4,5.4,6.7,2.2,1.4,0.8,2.1,2.1,14.8,.445,.541,.339,.769,.575,.525,G,Florida,bradley-beal-1
633,Keita Bates-Diop,MIN,2,48,2018,Ohio State,2014-15,2017-18,109,70,24.8,4.3,9.1,3.2,5.9,1.1,3.2,1.9,2.5,1.1,4.6,5.7,1.1,0.6,1.2,1.2,1.4,11.7,.472,.537,.352,.776,.567,.534,F,Ohio State,keita-bates-diop-1
634,Emoni Bates,CLE,2,49,2023,Eastern Michigan,2021-22,2022-23,48,42,29.9,5.3,13.1,3.1,6.8,2.1,6.4,3.0,4.1,0.7,4.1,4.8,1.4,0.7,0.5,2.5,2.1,15.6,.400,.466,.330,.749,.520,.480,F,Eastern MichiganMemphis,emoni-bates-1
635,Charles Bassey,PHI,2,53,2021,Western Kentucky,2018-19,2020-21,72,72,30.5,6.1,10.2,5.7,9.0,0.4,1.3,3.3,4.3,3.0,7.5,10.5,0.8,0.6,2.6,2.5,2.5,15.9,.596,.636,.319,.768,.648,.616,C,Western Kentucky,charles-bassey-1
636,Will Barton,POR,2,40,2012,Memphis,2010-11,2011-12,70,59,32.9,5.7,12.0,4.6,8.4,1.1,3.6,2.7,3.7,1.7,4.8,6.5,2.9,1.5,0.6,2.3,2.2,15.2,.471,.546,.299,.733,.549,.517,G,Memphis,will-barton-1
637,R.J. Barrett,NYK,1,3,2019,Duke,2018-19,2018-19,38,38,35.3,8.4,18.5,6.5,12.2,1.9,6.2,3.9,5.9,1.6,6.0,7.6,4.3,0.9,0.4,3.2,1.8,22.6,.454,.529,.308,.665,.532,.506,F,Duke,rj-barrett-1
